Title,Year,Ratings,Director,Cast,Genre
Alien,1979,93,Ridley Scott,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
Let the Right One In,2008,98,Tomas Alfredson,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
Aliens,1986,98,James Cameron,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
Jaws,1975,97,Steven Spielberg,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
The Silence of the Lambs,1991,95,Jonathan Demme,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
Get Out,2017,98,Jordan Peele,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
Psycho,1960,97,Alfred Hitchcock,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
One Cut of the Dead,2017,100,Shinichiro Ueda,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
King Kong,1933,97,Merian C. Cooper,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
A Quiet Place,2018,96,John Krasinski,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
Halloween,1978,96,John Carpenter,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
Shaun of the Dead,2004,92,Edgar Wright,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
What We Do in the Shadows,2014,96,Jemaine Clement,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
Diabolique,1955,95,Henri-Georges Clouzot,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
The Invisible Man,2020,92,Leigh Whannell,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
Nosferatu,1922,97,F.W. Murnau,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
Invasion of the Body Snatchers,1956,98,Don Siegel,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
Rosemary's Baby,1968,96,Roman Polanski,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
The Wailing,2016,99,Na Hong-jin,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
Bride of Frankenstein,1935,98,James Whale,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
The Cabinet of Dr. Caligari,1919,96,Robert Wiene,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
The Devil's Backbone,2001,93,Guillermo del Toro,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
Eyes Without a Face,1960,97,Georges Franju,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
A Quiet Place Part II,2021,91,John Krasinski,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
The Babadook,2014,98,Jennifer Kent,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
Train to Busan,2016,95,Yeon Sang-ho,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
The Ring,1998,98,Hideo Nakata,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
His House,2020,100,Remi Weekes,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
Night of the Living Dead,1968,95,George A. Romero,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
Talk to Me,2023,95,Danny Philippou,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
Tigers Are Not Afraid,2017,97,Issa López,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
Repulsion,1965,96,Roman Polanski,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
Frankenstein,1931,94,James Whale,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
Vampyr,1932,98,Carl Theodor Dreyer,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
Freaks,1932,95,Tod Browning,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
The Night of the Hunter,1955,93,Charles Laughton,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
A Nightmare on Elm Street,1984,95,Wes Craven,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
The Innocents,1961,95,Jack Clayton,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
Prey,2022,94,Dan Trachtenberg,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
Under the Shadow,2016,99,Babak Anvari,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
Nosferatu the Vampyre,1979,95,Werner Herzog,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
Border,2018,97,Ali Abbasi,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
M3GAN,2022,93,Gerard Johnstone,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
Dawn of the Dead,1978,91,George A. Romero,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
Godzilla,1954,93,Ishirô Honda,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
The Face of Fear,1960,95,Michael Powell,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
A Girl Walks Home Alone at Night,2014,96,Ana Lily Amirpour,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
Re-Animator,1985,94,Stuart Gordon,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
The Fly,1986,93,David Cronenberg,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
Suspiria,1977,94,Dario Argento,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
Pearl,2022,93,Ti West,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
Zombieland,2009,89,Ruben Fleischer,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
The Birds,1963,94,Alfred Hitchcock,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
The Innocents,2021,97,Eskil Vogt,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
What Ever Happened to Baby Jane?,1962,92,Robert Aldrich,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
X,2022,94,Ti West,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
Misery,1990,91,Rob Reiner,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
The Cabin in the Woods,2011,92,Drew Goddard,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
The Amusement Park,1973,96,George A. Romero,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
It Follows,2014,95,David Robert Mitchell,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
Raw,2016,93,Julia Ducournau,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
Dead of Night,1945,93,Alberto Cavalcanti,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
Dracula,1931,94,Tod Browning,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
Carrie,1976,93,Brian De Palma,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
The Host,2006,93,Bong Joon Ho,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
10 Cloverfield Lane,2016,90,Dan Trachtenberg,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
Kwaidan,1964,91,Masaki Kobayashi,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
28 Days Later,2002,87,Danny Boyle,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
Don't Look Now,1973,93,Nicolas Roeg,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
Thelma,2017,92,Joachim Trier,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
Attack the Block,2011,91,Joe Cornish,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
The Orphanage,2007,87,J. A. Bayona,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
Barbarian,2022,93,Zach Cregger,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
Werewolf by Night,2022,89,Michael Giacchino,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
Us,2019,93,Jordan Peele,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
Upgrade,2018,88,Leigh Whannell,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
Evil Dead 2,1987,88,Sam Raimi,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
An American Werewolf in London,1981,89,John Landis,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
Ready or Not,2019,89,Matt Bettinelli-Olpin,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
The Lighthouse,2019,90,Robert Eggers,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
It,2017,85,Andy Muschietti,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
Eraserhead,1977,89,David Lynch,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
Green Room,2015,90,Jeremy Saulnier,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
Beast,2017,92,Michael Pearce,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
Hereditary,2018,90,Ari Aster,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
Drag Me to Hell,2009,92,Sam Raimi,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
The Return of the Living Dead,1985,91,Dan O'Bannon,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
The Wicker Man,1973,91,Robin Hardy,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
Dead Alive,1992,89,Peter Jackson,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
You Won't Be Alone,2022,93,Goran Stolevski,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
The Fly,1958,95,Kurt Neumann,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
Let Me In,2010,88,Matt Reeves,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
Village of the Damned,1960,93,Wolf Rilla,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
Don't Breathe,2016,88,Fede Alvarez,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
The Texas Chain Saw Massacre,1974,89,Tobe Hooper,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
The Phantom of the Opera,1925,90,Rupert Julian,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
The Conjuring,2013,86,James Wan,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
Cat People,1942,92,Jacques Tourneur,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
Horror of Dracula,1958,91,Terence Fisher,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
The Blackening,2022,87,Tim Story,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
Grindhouse,2007,84,Quentin Tarantino,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
The Thing,1982,84,John Carpenter,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
House of Wax,1953,93,Andre de Toth,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
The Shining,1980,83,Stanley Kubrick,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
The Love Witch,2016,95,Anna Biller,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
Bone Tomahawk,2015,91,S. Craig Zahler,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
The Descent,2005,87,Neil Marshall,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
Dr. Jekyll and Mr. Hyde,1931,91,Rouben Mamoulian,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
Mandy,2018,91,Panos Cosmatos,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
Duel,1971,89,Steven Spielberg,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
The Cat and the Canary,1927,93,Paul Leni,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
The Wolf Man,1941,91,George Waggner,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
Saint Maud,2019,92,Rose Glass,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
Poltergeist,1982,88,Tobe Hooper,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
House,1977,91,Nobuhiko Ôbayashi,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
The Endless,2017,92,Aaron Moorhead,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
The Evil Dead,1981,86,Sam Raimi,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
Violation,2020,88,Dusty Mancinelli,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
Martin,1978,90,George A. Romero,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
Tucker & Dale vs Evil,2010,85,Eli Craig,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
Nanny,2022,90,Nikyatu Jusu,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
A Tale of Two Sisters,2003,86,Kim Jee-woon,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
The Witch,2015,90,Robert Eggers,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
Annihilation,2018,88,Alex Garland,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
The Dead Zone,1983,89,David Cronenberg,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
Fear Street Part Two: 1978,2021,87,Leigh Janiak,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
Island of Lost Souls,1933,88,Erle C. Kenton,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
The Others,2001,84,Alejandro Amenábar,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
Rare Exports: A Christmas Tale,2010,89,Jalmari Helander,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
Only Lovers Left Alive,2013,86,Jim Jarmusch,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
Hatching,2022,93,Hanna Bergholm,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
Santa Sangre,1989,86,Alejandro Jodorowsky,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
Theater of Blood,1973,87,Douglas Hickox,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
Gremlins,1984,86,Joe Dante,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
The Haunting,1963,87,Robert Wise,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
Fear Street Part Three: 1666,2021,88,Leigh Janiak,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
The Night House,2020,88,David Bruckner,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
Sputnik,2020,88,Egor Abramenko,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
The Black Phone,2021,82,Scott Derrickson,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
Cronos,1993,90,Guillermo del Toro,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
The Dark and the Wicked,2020,91,Bryan Bertino,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
The Invitation,2015,90,Karyn Kusama,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
Freaky,2020,83,Christopher Landon,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
Tremors,1990,88,Ron Underwood,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
The Exorcist,1973,78,William Friedkin,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
Evil Dead Rise,2023,84,Lee Cronin,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
The Mummy,1932,89,Karl Freund,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
Carnival of Souls,1962,87,Herk Harvey,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
The Abominable Dr. Phibes,1971,88,Robert Fuest,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
Candyman,2021,84,Nia DaCosta,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
Hounds of Love,2016,88,Ben Young,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
Audition,1999,83,Takashi Miike,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
Piggy,2022,91,Carlota Pereda,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
Dead Ringers,1988,85,David Cronenberg,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
Nope,2022,83,Jordan Peele,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
Slither,2006,87,James Gunn,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
Crawl,2019,84,Alexandre Aja,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
Doctor Sleep,2019,78,Mike Flanagan,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
Day of the Dead,1985,87,George A. Romero,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
The Bird With the Crystal Plumage,1970,85,Dario Argento,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
The Omen,1976,84,Richard Donner,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
The Autopsy of Jane Doe,2016,86,André Øvredal,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
Scream VI,2023,76,Matt Bettinelli-Olpin,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
Fresh,2022,81,Mimi Cave,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
Color Out of Space,2019,86,Richard Stanley,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
The Conjuring 2,2016,80,James Wan,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
Better Watch Out,2016,88,Chris Peckover,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
Scream,1996,81,Wes Craven,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
Saw X,2023,80,Kevin Greutert,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
The Girl With All the Gifts,2016,86,Colm McCarthy,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
Predator,1987,80,John McTiernan,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
Goodnight Mommy,2014,85,Veronika Franz,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
Fright Night,1985,83,Tom Holland,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
Midsommar,2019,83,Ari Aster,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
Warm Bodies,2013,81,Jonathan Levine,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
Sisters,1973,85,Brian De Palma,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
Shadow of the Vampire,2000,82,E. Elias Merhige,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
I Walked With a Zombie,1943,85,Jacques Tourneur,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
Near Dark,1987,83,Kathryn Bigelow,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
House of Usher,1960,84,Roger Corman,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
Thirst,2009,81,Park Chan-wook,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
Split,2016,78,M. Night Shyamalan,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
The House of the Devil,2009,85,Ti West,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
Smile,2022,79,Parker Finn,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
Werewolves Within,2021,86,Josh Ruben,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
Bubba Ho-Tep,2002,79,Don Coscarelli,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
Halloween,2018,79,David Gordon Green,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
Videodrome,1983,83,David Cronenberg,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
Overlord,2018,82,Julius Avery,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
Scream,2022,76,Matt Bettinelli-Olpin,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
Come to Daddy,2019,88,Ant Timpson,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
Bones and All,2022,81,Luca Guadagnino,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
The Lost Boys,1987,77,Joel Schumacher,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
Dawn of the Dead,2004,76,Zack Snyder,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
Fear Street Part One: 1994,2021,84,Leigh Janiak,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
Bram Stoker's Dracula,1992,78,Francis Ford Coppola,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
Frailty,2002,75,Bill Paxton,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
1408,2007,80,Mikael Håfström,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
Little Monsters,2019,80,Abe Forsythe,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
Scary Stories to Tell in the Dark,2019,77,André Øvredal,"Tom Skerritt,Sigourney Weaver,John Hurt,Veronica Cartwright",Horror
